Country,Indicator,Region,Subregion,Year,Percentage
Uruguay,Unknown Mechanism rate,Americas,South America,2010,0.5
Venezuela,Unknown Mechanism rate,Americas,South America,2010,0.4
Aruba,Firearms rate,Americas,Caribbean,2011,0
Bahamas,Firearms rate,Americas,Caribbean,2011,25.6
Barbados,Firearms rate,Americas,Caribbean,2011,5.4
Cuba,Firearms rate,Americas,Caribbean,2011,0.2
Dominica,Firearms rate,Americas,Caribbean,2011,1.7
Dominican Republic,Firearms rate,Americas,Caribbean,2011,15.7
Grenada,Firearms rate,Americas,Caribbean,2011,0
Jamaica,Firearms rate,Americas,Caribbean,2011,28
Puerto Rico,Firearms rate,Americas,Caribbean,2011,27.9
Saint Lucia,Firearms rate,Americas,Caribbean,2011,18
Saint Vincent and the Grenadines,Firearms rate,Americas,Caribbean,2011,9.1
Trinidad and Tobago,Firearms rate,Americas,Caribbean,2011,18.7
United States Virgin Islands,Firearms rate,Americas,Caribbean,2011,35.9
Aruba,Other Mechanism rate,Americas,Caribbean,2011,0
Bahamas,Other Mechanism rate,Americas,Caribbean,2011,1.9
Barbados,Other Mechanism rate,Americas,Caribbean,2011,0.8
Cuba,Other Mechanism rate,Americas,Caribbean,2011,1
Dominica,Other Mechanism rate,Americas,Caribbean,2011,1.7
Dominican Republic,Other Mechanism rate,Americas,Caribbean,2011,3.1
Grenada,Other Mechanism rate,Americas,Caribbean,2011,1
Jamaica,Other Mechanism rate,Americas,Caribbean,2011,4.2
Puerto Rico,Other Mechanism rate,Americas,Caribbean,2011,0.9
Saint Lucia,Other Mechanism rate,Americas,Caribbean,2011,0.6
Trinidad and Tobago,Other Mechanism rate,Americas,Caribbean,2011,2.8
United States Virgin Islands,Other Mechanism rate,Americas,Caribbean,2011,0.9
Aruba,Sharp Objects rate,Americas,Caribbean,2011,1
Bahamas,Sharp Objects rate,Americas,Caribbean,2011,6
Barbados,Sharp Objects rate,Americas,Caribbean,2011,3.5
Cuba,Sharp Objects rate,Americas,Caribbean,2011,3.3
Dominica,Sharp Objects rate,Americas,Caribbean,2011,5
Dominican Republic,Sharp Objects rate,Americas,Caribbean,2011,6.3
Grenada,Sharp Objects rate,Americas,Caribbean,2011,2.9
Jamaica,Sharp Objects rate,Americas,Caribbean,2011,7.8
Puerto Rico,Sharp Objects rate,Americas,Caribbean,2011,0.7
Saint Lucia,Sharp Objects rate,Americas,Caribbean,2011,7.8
Saint Vincent and the Grenadines,Sharp Objects rate,Americas,Caribbean,2011,6.4
Trinidad and Tobago,Sharp Objects rate,Americas,Caribbean,2011,4.3
United States Virgin Islands,Sharp Objects rate,Americas,Caribbean,2011,4.7
Aruba,Unknown Mechanism rate,Americas,Caribbean,2011,1
Bahamas,Unknown Mechanism rate,Americas,Caribbean,2011,1.1
Barbados,Unknown Mechanism rate,Americas,Caribbean,2011,0
Cuba,Unknown Mechanism rate,Americas,Caribbean,2011,0.1
Dominica,Unknown Mechanism rate,Americas,Caribbean,2011,0
Dominican Republic,Unknown Mechanism rate,Americas,Caribbean,2011,0
Grenada,Unknown Mechanism rate,Americas,Caribbean,2011,0
Jamaica,Unknown Mechanism rate,Americas,Caribbean,2011,0
Puerto Rico,Unknown Mechanism rate,Americas,Caribbean,2011,1.9
Saint Lucia,Unknown Mechanism rate,Americas,Caribbean,2011,0
Trinidad and Tobago,Unknown Mechanism rate,Americas,Caribbean,2011,0.6
United States Virgin Islands,Unknown Mechanism rate,Americas,Caribbean,2011,0.9
Belize,Firearms rate,Americas,Central America,2011,25.8
Costa Rica,Firearms rate,Americas,Central America,2011,6.5
El Salvador,Firearms rate,Americas,Central America,2011,49.2
Guatemala,Firearms rate,Americas,Central America,2011,30.2
Honduras,Firearms rate,Americas,Central America,2011,72
Mexico,Firearms rate,Americas,Central America,2011,15.5
Panama,Firearms rate,Americas,Central America,2011,11.4
Belize,Other Mechanism rate,Americas,Central America,2011,3.6
Costa Rica,Other Mechanism rate,Americas,Central America,2011,1.8
El Salvador,Other Mechanism rate,Americas,Central America,2011,7.9
Guatemala,Other Mechanism rate,Americas,Central America,2011,2.9
Honduras,Other Mechanism rate,Americas,Central America,2011,4.4
Mexico,Other Mechanism rate,Americas,Central America,2011,2.6
Panama,Other Mechanism rate,Americas,Central America,2011,0.5
Belize,Sharp Objects rate,Americas,Central America,2011,7.9
Costa Rica,Sharp Objects rate,Americas,Central America,2011,2
El Salvador,Sharp Objects rate,Americas,Central America,2011,12.8
Guatemala,Sharp Objects rate,Americas,Central America,2011,3.6
Honduras,Sharp Objects rate,Americas,Central America,2011,8.7
Mexico,Sharp Objects rate,Americas,Central America,2011,2.8
Panama,Sharp Objects rate,Americas,Central America,2011,2.4
Belize,Unknown Mechanism rate,Americas,Central America,2011,0.3
Costa Rica,Unknown Mechanism rate,Americas,Central America,2011,0
El Salvador,Unknown Mechanism rate,Americas,Central America,2011,0.7
Guatemala,Unknown Mechanism rate,Americas,Central America,2011,1.3
Honduras,Unknown Mechanism rate,Americas,Central America,2011,0
Mexico,Unknown Mechanism rate,Americas,Central America,2011,2
Panama,Unknown Mechanism rate,Americas,Central America,2011,0.4
Bermuda,Firearms rate,Americas,Northern America,2011,7.9
Canada,Firearms rate,Americas,Northern America,2011,0.5
United States of America,Firearms rate,Americas,Northern America,2011,2.8
Bermuda,Other Mechanism rate,Americas,Northern America,2011,1.6
Canada,Other Mechanism rate,Americas,Northern America,2011,0.6
United States of America,Other Mechanism rate,Americas,Northern America,2011,0.5
Bermuda,Sharp Objects rate,Americas,Northern America,2011,3.1
Canada,Sharp Objects rate,Americas,Northern America,2011,0.6
United States of America,Sharp Objects rate,Americas,Northern America,2011,0.6
Bermuda,Unknown Mechanism rate,Americas,Northern America,2011,0
Canada,Unknown Mechanism rate,Americas,Northern America,2011,0
United States of America,Unknown Mechanism rate,Americas,Northern America,2011,0.9
Brazil,Firearms rate,Americas,South America,2011,17
Chile,Firearms rate,Americas,South America,2011,1.3
Colombia,Firearms rate,Americas,South America,2011,27.6
Ecuador,Firearms rate,Americas,South America,2011,9.7
Guyana,Firearms rate,Americas,South America,2011,3.9
Paraguay,Firearms rate,Americas,South America,2011,6.1
Peru,Firearms rate,Americas,South America,2011,3.2
Uruguay,Firearms rate,Americas,South America,2011,2.9
Venezuela,Firearms rate,Americas,South America,2011,42.4
Brazil,Other Mechanism rate,Americas,South America,2011,2.4
Chile,Other Mechanism rate,Americas,South America,2011,0.3
Colombia,Other Mechanism rate,Americas,South America,2011,1.2
Ecuador,Other Mechanism rate,Americas,South America,2011,1.3
Guyana,Other Mechanism rate,Americas,South America,2011,4.6
Paraguay,Other Mechanism rate,Americas,South America,2011,0.7
Peru,Other Mechanism rate,Americas,South America,2011,0.7
Uruguay,Other Mechanism rate,Americas,South America,2011,0.7
Venezuela,Other Mechanism rate,Americas,South America,2011,1.8
Brazil,Sharp Objects rate,Americas,South America,2011,4
Chile,Sharp Objects rate,Americas,South America,2011,1.6
Colombia,Sharp Objects rate,Americas,South America,2011,5.7
Ecuador,Sharp Objects rate,Americas,South America,2011,3.3
Guyana,Sharp Objects rate,Americas,South America,2011,6.8
Paraguay,Sharp Objects rate,Americas,South America,2011,3.3
Peru,Sharp Objects rate,Americas,South America,2011,1
Uruguay,Sharp Objects rate,Americas,South America,2011,2
Venezuela,Sharp Objects rate,Americas,South America,2011,3.1
Brazil,Unknown Mechanism rate,Americas,South America,2011,0.8
Chile,Unknown Mechanism rate,Americas,South America,2011,0.5
Colombia,Unknown Mechanism rate,Americas,South America,2011,0.2
Ecuador,Unknown Mechanism rate,Americas,South America,2011,1.2
Guyana,Unknown Mechanism rate,Americas,South America,2011,2.1
Paraguay,Unknown Mechanism rate,Americas,South America,2011,0.3
Peru,Unknown Mechanism rate,Americas,South America,2011,0.6
Uruguay,Unknown Mechanism rate,Americas,South America,2011,0.3
Venezuela,Unknown Mechanism rate,Americas,South America,2011,0.6
Aruba,Firearms rate,Americas,Caribbean,2012,1.9
Bahamas,Firearms rate,Americas,Caribbean,2012,23.4
Barbados,Firearms rate,Americas,Caribbean,2012,2.4
Cuba,Firearms rate,Americas,Caribbean,2012,0.3
Dominican Republic,Firearms rate,Americas,Caribbean,2012,14.4
Grenada,Firearms rate,Americas,Caribbean,2012,0
Jamaica,Firearms rate,Americas,Caribbean,2012,27.2
Montserrat,Firearms rate,Americas,Caribbean,2012,0
Puerto Rico,Firearms rate,Americas,Caribbean,2012,24.5
Saint Lucia,Firearms rate,Americas,Caribbean,2012,12.1
Saint Vincent and the Grenadines,Firearms rate,Americas,Caribbean,2012,11
Trinidad and Tobago,Firearms rate,Americas,Caribbean,2012,21.8
United States Virgin Islands,Firearms rate,Americas,Caribbean,2012,40.7
Aruba,Other Mechanism rate,Americas,Caribbean,2012,1
Bahamas,Other Mechanism rate,Americas,Caribbean,2012,1.6
Barbados,Other Mechanism rate,Americas,Caribbean,2012,2
Cuba,Other Mechanism rate,Americas,Caribbean,2012,1
Dominican Republic,Other Mechanism rate,Americas,Caribbean,2012,2.5
Grenada,Other Mechanism rate,Americas,Caribbean,2012,3.8
Jamaica,Other Mechanism rate,Americas,Caribbean,2012,3.6
Montserrat,Other Mechanism rate,Americas,Caribbean,2012,0
Puerto Rico,Other Mechanism rate,Americas,Caribbean,2012,0.7
Saint Lucia,Other Mechanism rate,Americas,Caribbean,2012,3.6
Trinidad and Tobago,Other Mechanism rate,Americas,Caribbean,2012,2.3
United States Virgin Islands,Other Mechanism rate,Americas,Caribbean,2012,1.9
Aruba,Sharp Objects rate,Americas,Caribbean,2012,1
Bahamas,Sharp Objects rate,Americas,Caribbean,2012,3.2
Barbados,Sharp Objects rate,Americas,Caribbean,2012,3.1
Cuba,Sharp Objects rate,Americas,Caribbean,2012,4
Dominican Republic,Sharp Objects rate,Americas,Caribbean,2012,5.5
Grenada,Sharp Objects rate,Americas,Caribbean,2012,9.5
Jamaica,Sharp Objects rate,Americas,Caribbean,2012,7.7
Montserrat,Sharp Objects rate,Americas,Caribbean,2012,19.9
Puerto Rico,Sharp Objects rate,Americas,Caribbean,2012,0.4
Saint Lucia,Sharp Objects rate,Americas,Caribbean,2012,4.2
Saint Vincent and the Grenadines,Sharp Objects rate,Americas,Caribbean,2012,2.7
Trinidad and Tobago,Sharp Objects rate,Americas,Caribbean,2012,4
United States Virgin Islands,Sharp Objects rate,Americas,Caribbean,2012,5.7
Aruba,Unknown Mechanism rate,Americas,Caribbean,2012,0
Bahamas,Unknown Mechanism rate,Americas,Caribbean,2012,1.6
Barbados,Unknown Mechanism rate,Americas,Caribbean,2012,0.3
Cuba,Unknown Mechanism rate,Americas,Caribbean,2012,0.2
Dominican Republic,Unknown Mechanism rate,Americas,Caribbean,2012,0
Grenada,Unknown Mechanism rate,Americas,Caribbean,2012,0
Jamaica,Unknown Mechanism rate,Americas,Caribbean,2012,0.1
Montserrat,Unknown Mechanism rate,Americas,Caribbean,2012,0
Puerto Rico,Unknown Mechanism rate,Americas,Caribbean,2012,1.6
Saint Lucia,Unknown Mechanism rate,Americas,Caribbean,2012,2.4
Trinidad and Tobago,Unknown Mechanism rate,Americas,Caribbean,2012,0.2
United States Virgin Islands,Unknown Mechanism rate,Americas,Caribbean,2012,0.9
Belize,Firearms rate,Americas,Central America,2012,29.6
Costa Rica,Firearms rate,Americas,Central America,2012,5.6
El Salvador,Firearms rate,Americas,Central America,2012,25.8
Guatemala,Firearms rate,Americas,Central America,2012,26.6
Honduras,Firearms rate,Americas,Central America,2012,70.3
Mexico,Firearms rate,Americas,Central America,2012,13.8
Panama,Firearms rate,Americas,Central America,2012,12.8
Belize,Other Mechanism rate,Americas,Central America,2012,4.4
Costa Rica,Other Mechanism rate,Americas,Central America,2012,1.4
El Salvador,Other Mechanism rate,Americas,Central America,2012,5.9
Guatemala,Other Mechanism rate,Americas,Central America,2012,2.3
Honduras,Other Mechanism rate,Americas,Central America,2012,5.3
Mexico,Other Mechanism rate,Americas,Central America,2012,2.2
Panama,Other Mechanism rate,Americas,Central America,2012,0.8
Belize,Sharp Objects rate,Americas,Central America,2012,9.1
Costa Rica,Sharp Objects rate,Americas,Central America,2012,1.7
El Salvador,Sharp Objects rate,Americas,Central America,2012,8.9
Guatemala,Sharp Objects rate,Americas,Central America,2012,3.6
Honduras,Sharp Objects rate,Americas,Central America,2012,8.7
Mexico,Sharp Objects rate,Americas,Central America,2012,2.8
Panama,Sharp Objects rate,Americas,Central America,2012,2.9
Belize,Unknown Mechanism rate,Americas,Central America,2012,0
Costa Rica,Unknown Mechanism rate,Americas,Central America,2012,0
El Salvador,Unknown Mechanism rate,Americas,Central America,2012,1.1
Guatemala,Unknown Mechanism rate,Americas,Central America,2012,1.3
Honduras,Unknown Mechanism rate,Americas,Central America,2012,0.1
Mexico,Unknown Mechanism rate,Americas,Central America,2012,2.6
Panama,Unknown Mechanism rate,Americas,Central America,2012,0.3
Bermuda,Firearms rate,Americas,Northern America,2012,9.5
Canada,Firearms rate,Americas,Northern America,2012,0.5
United States of America,Firearms rate,Americas,Northern America,2012,2.8
Bermuda,Other Mechanism rate,Americas,Northern America,2012,0
Canada,Other Mechanism rate,Americas,Northern America,2012,0.6
United States of America,Other Mechanism rate,Americas,Northern America,2012,0.5
Bermuda,Sharp Objects rate,Americas,Northern America,2012,0
Canada,Sharp Objects rate,Americas,Northern America,2012,0.5
United States of America,Sharp Objects rate,Americas,Northern America,2012,0.5
Bermuda,Unknown Mechanism rate,Americas,Northern America,2012,0
Canada,Unknown Mechanism rate,Americas,Northern America,2012,0
United States of America,Unknown Mechanism rate,Americas,Northern America,2012,0.9
Brazil,Firearms rate,Americas,South America,2012,18.8
Chile,Firearms rate,Americas,South America,2012,0.8
Colombia,Firearms rate,Americas,South America,2012,27.6
Ecuador,Firearms rate,Americas,South America,2012,7.8
Guyana,Firearms rate,Americas,South America,2012,3
Paraguay,Firearms rate,Americas,South America,2012,6.6
Peru,Firearms rate,Americas,South America,2012,3.8
Uruguay,Firearms rate,Americas,South America,2012,4.8
Venezuela,Firearms rate,Americas,South America,2012,48.1
Brazil,Other Mechanism rate,Americas,South America,2012,2.6
Chile,Other Mechanism rate,Americas,South America,2012,0.3
Colombia,Other Mechanism rate,Americas,South America,2012,1.7
Ecuador,Other Mechanism rate,Americas,South America,2012,1.1
Guyana,Other Mechanism rate,Americas,South America,2012,5.1
Paraguay,Other Mechanism rate,Americas,South America,2012,1
Peru,Other Mechanism rate,Americas,South America,2012,0.8
Uruguay,Other Mechanism rate,Americas,South America,2012,1.2
Venezuela,Other Mechanism rate,Americas,South America,2012,1.8
Brazil,Sharp Objects rate,Americas,South America,2012,4.2
Chile,Sharp Objects rate,Americas,South America,2012,1.4
Colombia,Sharp Objects rate,Americas,South America,2012,5.6
Ecuador,Sharp Objects rate,Americas,South America,2012,3
Guyana,Sharp Objects rate,Americas,South America,2012,6.7
Paraguay,Sharp Objects rate,Americas,South America,2012,2.4
Peru,Sharp Objects rate,Americas,South America,2012,1.2
Uruguay,Sharp Objects rate,Americas,South America,2012,1.6
Venezuela,Sharp Objects rate,Americas,South America,2012,3.3
Brazil,Unknown Mechanism rate,Americas,South America,2012,0.9
Chile,Unknown Mechanism rate,Americas,South America,2012,0
Colombia,Unknown Mechanism rate,Americas,South America,2012,0.1
Ecuador,Unknown Mechanism rate,Americas,South America,2012,0.6
Guyana,Unknown Mechanism rate,Americas,South America,2012,3.7
Paraguay,Unknown Mechanism rate,Americas,South America,2012,0.2
Peru,Unknown Mechanism rate,Americas,South America,2012,0.7
Uruguay,Unknown Mechanism rate,Americas,South America,2012,0.3
Venezuela,Unknown Mechanism rate,Americas,South America,2012,0.6
Anguilla,Firearms rate,Americas,Caribbean,2013,7
Aruba,Firearms rate,Americas,Caribbean,2013,2.9
Bahamas,Firearms rate,Americas,Caribbean,2013,27.8
Barbados,Firearms rate,Americas,Caribbean,2013,3.2
Cayman Islands,Firearms rate,Americas,Caribbean,2013,6.9
Cuba,Firearms rate,Americas,Caribbean,2013,0.2
Grenada,Firearms rate,Americas,Caribbean,2013,0
Jamaica,Firearms rate,Americas,Caribbean,2013,31
Puerto Rico,Firearms rate,Americas,Caribbean,2013,22.5
Saint Lucia,Firearms rate,Americas,Caribbean,2013,8
Trinidad and Tobago,Firearms rate,Americas,Caribbean,2013,23.7
Turks and Caicos Islands,Firearms rate,Americas,Caribbean,2013,6
Anguilla,Other Mechanism rate,Americas,Caribbean,2013,0
Aruba,Other Mechanism rate,Americas,Caribbean,2013,1
Bahamas,Other Mechanism rate,Americas,Caribbean,2013,0.5
Barbados,Other Mechanism rate,Americas,Caribbean,2013,1.1
Cayman Islands,Other Mechanism rate,Americas,Caribbean,2013,0
Cuba,Other Mechanism rate,Americas,Caribbean,2013,1.3
Grenada,Other Mechanism rate,Americas,Caribbean,2013,1.9
Jamaica,Other Mechanism rate,Americas,Caribbean,2013,3.5
Puerto Rico,Other Mechanism rate,Americas,Caribbean,2013,0.3
Saint Lucia,Other Mechanism rate,Americas,Caribbean,2013,1.7
Trinidad and Tobago,Other Mechanism rate,Americas,Caribbean,2013,2.7
Turks and Caicos Islands,Other Mechanism rate,Americas,Caribbean,2013,3
Anguilla,Sharp Objects rate,Americas,Caribbean,2013,0
Aruba,Sharp Objects rate,Americas,Caribbean,2013,0
Bahamas,Sharp Objects rate,Americas,Caribbean,2013,3.3
Barbados,Sharp Objects rate,Americas,Caribbean,2013,4.2
Cayman Islands,Sharp Objects rate,Americas,Caribbean,2013,1.7
Cuba,Sharp Objects rate,Americas,Caribbean,2013,4.3
Grenada,Sharp Objects rate,Americas,Caribbean,2013,3.8
Jamaica,Sharp Objects rate,Americas,Caribbean,2013,7.6
Puerto Rico,Sharp Objects rate,Americas,Caribbean,2013,0.5
Saint Lucia,Sharp Objects rate,Americas,Caribbean,2013,6.3
Trinidad and Tobago,Sharp Objects rate,Americas,Caribbean,2013,3.6
Turks and Caicos Islands,Sharp Objects rate,Americas,Caribbean,2013,3
Anguilla,Unknown Mechanism rate,Americas,Caribbean,2013,0
Aruba,Unknown Mechanism rate,Americas,Caribbean,2013,1.9
Bahamas,Unknown Mechanism rate,Americas,Caribbean,2013,0
Barbados,Unknown Mechanism rate,Americas,Caribbean,2013,0
Cayman Islands,Unknown Mechanism rate,Americas,Caribbean,2013,0
Cuba,Unknown Mechanism rate,Americas,Caribbean,2013,0.1
Grenada,Unknown Mechanism rate,Americas,Caribbean,2013,0
Jamaica,Unknown Mechanism rate,Americas,Caribbean,2013,0
Puerto Rico,Unknown Mechanism rate,Americas,Caribbean,2013,1.1
Saint Lucia,Unknown Mechanism rate,Americas,Caribbean,2013,2.8
Trinidad and Tobago,Unknown Mechanism rate,Americas,Caribbean,2013,0.1
Turks and Caicos Islands,Unknown Mechanism rate,Americas,Caribbean,2013,0
Belize,Firearms rate,Americas,Central America,2013,16.6
Costa Rica,Firearms rate,Americas,Central America,2013,5.9
El Salvador,Firearms rate,Americas,Central America,2013,28.9
Guatemala,Firearms rate,Americas,Central America,2013,27.3
Honduras,Firearms rate,Americas,Central America,2013,63.1
Mexico,Firearms rate,Americas,Central America,2013,11.9
Belize,Other Mechanism rate,Americas,Central America,2013,5.2
Costa Rica,Other Mechanism rate,Americas,Central America,2013,1.1
El Salvador,Other Mechanism rate,Americas,Central America,2013,2.1
Guatemala,Other Mechanism rate,Americas,Central America,2013,3
Honduras,Other Mechanism rate,Americas,Central America,2013,3.8
Mexico,Other Mechanism rate,Americas,Central America,2013,2.1
Belize,Sharp Objects rate,Americas,Central America,2013,6.4
Costa Rica,Sharp Objects rate,Americas,Central America,2013,1.7
El Salvador,Sharp Objects rate,Americas,Central America,2013,8.4
Guatemala,Sharp Objects rate,Americas,Central America,2013,3.4
Honduras,Sharp Objects rate,Americas,Central America,2013,7.1
Mexico,Sharp Objects rate,Americas,Central America,2013,2.6
Belize,Unknown Mechanism rate,Americas,Central America,2013,0.5
Costa Rica,Unknown Mechanism rate,Americas,Central America,2013,0
El Salvador,Unknown Mechanism rate,Americas,Central America,2013,0.7
Guatemala,Unknown Mechanism rate,Americas,Central America,2013,0
Honduras,Unknown Mechanism rate,Americas,Central America,2013,0.2
Mexico,Unknown Mechanism rate,Americas,Central America,2013,2.3
Bermuda,Firearms rate,Americas,Northern America,2013,4.8
Canada,Firearms rate,Americas,Northern America,2013,0.4
United States of America,Firearms rate,Americas,Northern America,2013,2.7
Bermuda,Other Mechanism rate,Americas,Northern America,2013,0
Canada,Other Mechanism rate,Americas,Northern America,2013,0.5
United States of America,Other Mechanism rate,Americas,Northern America,2013,0.5
Bermuda,Sharp Objects rate,Americas,Northern America,2013,3.2
Canada,Sharp Objects rate,Americas,Northern America,2013,0.6
United States of America,Sharp Objects rate,Americas,Northern America,2013,0.5
Bermuda,Unknown Mechanism rate,Americas,Northern America,2013,0
Canada,Unknown Mechanism rate,Americas,Northern America,2013,0
United States of America,Unknown Mechanism rate,Americas,Northern America,2013,0.9
Brazil,Firearms rate,Americas,South America,2013,19
Chile,Firearms rate,Americas,South America,2013,1.1
Colombia,Firearms rate,Americas,South America,2013,25.2
Guyana,Firearms rate,Americas,South America,2013,4.9
Paraguay,Firearms rate,Americas,South America,2013,5.8
Peru,Firearms rate,Americas,South America,2013,4.3
Uruguay,Firearms rate,Americas,South America,2013,4.7
Brazil,Other Mechanism rate,Americas,South America,2013,2.6
Chile,Other Mechanism rate,Americas,South America,2013,0.4
Colombia,Other Mechanism rate,Americas,South America,2013,1.6
Guyana,Other Mechanism rate,Americas,South America,2013,0.7
Paraguay,Other Mechanism rate,Americas,South America,2013,0.7
Peru,Other Mechanism rate,Americas,South America,2013,0.8
Uruguay,Other Mechanism rate,Americas,South America,2013,0.9
Brazil,Sharp Objects rate,Americas,South America,2013,4.2
Chile,Sharp Objects rate,Americas,South America,2013,1.5
Colombia,Sharp Objects rate,Americas,South America,2013,5.8
Guyana,Sharp Objects rate,Americas,South America,2013,10.8
Paraguay,Sharp Objects rate,Americas,South America,2013,2.7
Peru,Sharp Objects rate,Americas,South America,2013,0.9
Uruguay,Sharp Objects rate,Americas,South America,2013,1.8
Brazil,Unknown Mechanism rate,Americas,South America,2013,0.9
Chile,Unknown Mechanism rate,Americas,South America,2013,0.2
Colombia,Unknown Mechanism rate,Americas,South America,2013,0
Guyana,Unknown Mechanism rate,Americas,South America,2013,4
Paraguay,Unknown Mechanism rate,Americas,South America,2013,0.1
Peru,Unknown Mechanism rate,Americas,South America,2013,0.6
Uruguay,Unknown Mechanism rate,Americas,South America,2013,0.2
Aruba,Firearms rate,Americas,Caribbean,2014,1
Barbados,Firearms rate,Americas,Caribbean,2014,6
Cuba,Firearms rate,Americas,Caribbean,2014,0.1
Dominican Republic,Firearms rate,Americas,Caribbean,2014,11
Grenada,Firearms rate,Americas,Caribbean,2014,0
Jamaica,Firearms rate,Americas,Caribbean,2014,24.9
Puerto Rico,Firearms rate,Americas,Caribbean,2014,17.1
Saint Lucia,Firearms rate,Americas,Caribbean,2014,9.6
Trinidad and Tobago,Firearms rate,Americas,Caribbean,2014,22.4
Turks and Caicos Islands,Firearms rate,Americas,Caribbean,2014,3
Aruba,Other Mechanism rate,Americas,Caribbean,2014,1
Barbados,Other Mechanism rate,Americas,Caribbean,2014,0.7
Cuba,Other Mechanism rate,Americas,Caribbean,2014,1
Dominican Republic,Other Mechanism rate,Americas,Caribbean,2014,1.7
Grenada,Other Mechanism rate,Americas,Caribbean,2014,3.8
Jamaica,Other Mechanism rate,Americas,Caribbean,2014,3.8
Puerto Rico,Other Mechanism rate,Americas,Caribbean,2014,0.6
Saint Lucia,Other Mechanism rate,Americas,Caribbean,2014,1.1
Trinidad and Tobago,Other Mechanism rate,Americas,Caribbean,2014,2.9
Turks and Caicos Islands,Other Mechanism rate,Americas,Caribbean,2014,0
Aruba,Sharp Objects rate,Americas,Caribbean,2014,0
Barbados,Sharp Objects rate,Americas,Caribbean,2014,2.1
Cuba,Sharp Objects rate,Americas,Caribbean,2014,4
Dominican Republic,Sharp Objects rate,Americas,Caribbean,2014,4.7
Grenada,Sharp Objects rate,Americas,Caribbean,2014,3.8
Jamaica,Sharp Objects rate,Americas,Caribbean,2014,6.2
Puerto Rico,Sharp Objects rate,Americas,Caribbean,2014,0.5
Saint Lucia,Sharp Objects rate,Americas,Caribbean,2014,4
Trinidad and Tobago,Sharp Objects rate,Americas,Caribbean,2014,3.8
Turks and Caicos Islands,Sharp Objects rate,Americas,Caribbean,2014,3
Aruba,Unknown Mechanism rate,Americas,Caribbean,2014,0
Barbados,Unknown Mechanism rate,Americas,Caribbean,2014,0
Cuba,Unknown Mechanism rate,Americas,Caribbean,2014,0.1
Dominican Republic,Unknown Mechanism rate,Americas,Caribbean,2014,0
Grenada,Unknown Mechanism rate,Americas,Caribbean,2014,0
Jamaica,Unknown Mechanism rate,Americas,Caribbean,2014,0.1
Puerto Rico,Unknown Mechanism rate,Americas,Caribbean,2014,0.8
Saint Lucia,Unknown Mechanism rate,Americas,Caribbean,2014,4.5
Trinidad and Tobago,Unknown Mechanism rate,Americas,Caribbean,2014,0.8
Turks and Caicos Islands,Unknown Mechanism rate,Americas,Caribbean,2014,0
Belize,Firearms rate,Americas,Central America,2014,20.2
Costa Rica,Firearms rate,Americas,Central America,2014,6.9
El Salvador,Firearms rate,Americas,Central America,2014,50.5
Guatemala,Firearms rate,Americas,Central America,2014,25.9
Honduras,Firearms rate,Americas,Central America,2014,55.3
Mexico,Firearms rate,Americas,Central America,2014,9.7
Panama,Firearms rate,Americas,Central America,2014,10.5
Belize,Other Mechanism rate,Americas,Central America,2014,1.1
Costa Rica,Other Mechanism rate,Americas,Central America,2014,1.3
El Salvador,Other Mechanism rate,Americas,Central America,2014,2.2
Guatemala,Other Mechanism rate,Americas,Central America,2014,2.2
Honduras,Other Mechanism rate,Americas,Central America,2014,2.6
Mexico,Other Mechanism rate,Americas,Central America,2014,1.9
Panama,Other Mechanism rate,Americas,Central America,2014,0.6
Belize,Sharp Objects rate,Americas,Central America,2014,10
Costa Rica,Sharp Objects rate,Americas,Central America,2014,1.9
El Salvador,Sharp Objects rate,Americas,Central America,2014,8.9
Guatemala,Sharp Objects rate,Americas,Central America,2014,3.2
Honduras,Sharp Objects rate,Americas,Central America,2014,7.1
Mexico,Sharp Objects rate,Americas,Central America,2014,2.4
Panama,Sharp Objects rate,Americas,Central America,2014,2.7
Belize,Unknown Mechanism rate,Americas,Central America,2014,3.7
Costa Rica,Unknown Mechanism rate,Americas,Central America,2014,0
El Salvador,Unknown Mechanism rate,Americas,Central America,2014,0.8
Guatemala,Unknown Mechanism rate,Americas,Central America,2014,0
Honduras,Unknown Mechanism rate,Americas,Central America,2014,1.9
Mexico,Unknown Mechanism rate,Americas,Central America,2014,2.2
Panama,Unknown Mechanism rate,Americas,Central America,2014,0.7
Bermuda,Firearms rate,Americas,Northern America,2014,4.3
Canada,Firearms rate,Americas,Northern America,2014,0.4
United States of America,Firearms rate,Americas,Northern America,2014,2.6
Bermuda,Other Mechanism rate,Americas,Northern America,2014,0
Canada,Other Mechanism rate,Americas,Northern America,2014,0.4
United States of America,Other Mechanism rate,Americas,Northern America,2014,0.5
Bermuda,Sharp Objects rate,Americas,Northern America,2014,2.1
Canada,Sharp Objects rate,Americas,Northern America,2014,0.5
United States of America,Sharp Objects rate,Americas,Northern America,2014,0.5
Bermuda,Unknown Mechanism rate,Americas,Northern America,2014,0
Canada,Unknown Mechanism rate,Americas,Northern America,2014,0.1
United States of America,Unknown Mechanism rate,Americas,Northern America,2014,0.9
Brazil,Firearms rate,Americas,South America,2014,20
Chile,Firearms rate,Americas,South America,2014,1.7
Colombia,Firearms rate,Americas,South America,2014,20.6
Ecuador,Firearms rate,Americas,South America,2014,4.4
